key,source_index,source_filename,brand,product_name,pack_size,poster_filename,status,categories
source-24,24,1787109424881_8276717302965400709_8276717302965400709_cf8a79c14cb5327eceb463ab34a853bb.jpg,Cream X2,Kem trắng da mặt,12g,ddg-cream-x2-kem-trang-da-mat-12g.jpg,READY_FOR_DESIGN,Chăm sóc da mặt | Dưỡng sáng & đều màu
source-25,25,1787109424912_8276717302965400709_8276717302965400709_7b9d149db264d38586b5f3b7a28360c8.jpg,Cream X2,Kem dưỡng trắng giúp mờ các dấu hiệu lão hóa da,8g,ddg-cream-x2-kem-duong-trang-giup-mo-cac-dau-hieu-lao-hoa-da-8g.jpg,READY_FOR_DESIGN,Chăm sóc da mặt | Dưỡng sáng & đều màu | Chăm sóc dấu hiệu lão hóa
source-26,26,1787109424940_8276717302965400709_8276717302965400709_c22c9d6cc79341ae87b41cf0fad40a80.jpg,Cream X2,Kem dưỡng trắng giúp mờ các dấu hiệu lão hóa da,30g,ddg-cream-x2-kem-duong-trang-giup-mo-cac-dau-hieu-lao-hoa-da-30g.jpg,READY_FOR_DESIGN,Chăm sóc da mặt | Dưỡng sáng & đều màu | Chăm sóc dấu hiệu lão hóa
source-27,27,1787109424969_8276717302965400709_8276717302965400709_472ac0977240a49bb15d87f9ccabff48.jpg,Cream X2,Kem dưỡng trắng da toàn thân,80g,ddg-cream-x2-kem-duong-trang-da-toan-than-80g.jpg,READY_FOR_DESIGN,Chăm sóc cơ thể | Dưỡng sáng & đều màu
source-28,28,1787109424996_8276717302965400709_8276717302965400709_0878a4d5060fb63b6b59aea9859f3b55.jpg,Cream X2,Kem giúp mờ nám tàn nhang đồi mồi,8g,ddg-cream-x2-kem-giup-mo-nam-tan-nhang-doi-moi-8g.jpg,READY_FOR_DESIGN,Chăm sóc da mặt | Dưỡng sáng & đều màu
source-29,29,1787109425025_8276717302965400709_8276717302965400709_d22c97179b9eddeed4c10d3d9073ea12.jpg,Cream X2,Kem trắng da chống nắng,8g,ddg-cream-x2-kem-trang-da-chong-nang-8g.jpg,READY_FOR_DESIGN,Chăm sóc da mặt | Dưỡng sáng & đều màu | Chống nắng
source-30,30,1787109425054_8276717302965400709_8276717302965400709_2e5aebe83c9006f357f55978a71edad4.jpg,Cream X2,Kem giúp mờ nám tàn nhang đồi mồi,15g,ddg-cream-x2-kem-giup-mo-nam-tan-nhang-doi-moi-15g.jpg,READY_FOR_DESIGN,Chăm sóc da mặt | Dưỡng sáng & đều màu
source-31,31,1787109424773_8276717302965400709_8276717302965400709_b06f9ea45c9cf7dfd5272caf71dd226c.jpg,Cream X2,Kem trắng da 3 in 1,5g,ddg-cream-x2-kem-trang-da-3-in-1-5g.jpg,READY_FOR_DESIGN,Chăm sóc da mặt | Dưỡng sáng & đều màu
source-32,32,1787109425086_8276717302965400709_8276717302965400709_39334d9d011a69b62e5dacd25a9db16e.jpg,Cream X2,Kem trắng da mặt đa chức năng,20g,ddg-cream-x2-kem-trang-da-mat-da-chuc-nang-20g.jpg,READY_FOR_DESIGN,Chăm sóc da mặt | Dưỡng sáng & đều màu
source-33,33,1787189873325_8276717302965400709_8276717302965400709_328d0256d219c2bfedb0052ed4bd5fa6.jpg,HAVIGOLD,Dung dịch vệ sinh,140g,ddg-havigold-dung-dich-ve-sinh-140g.jpg,READY_FOR_DESIGN,Chăm sóc vùng kín
source-34,34,1787189873407_8276717302965400709_8276717302965400709_a9b52bb3df1a9ea3790bb3a2385aeb31.jpg,HAVIGOLD,Kem giúp mờ nám tàn nhang - đồi mồi,18g,ddg-havigold-kem-giup-mo-nam-tan-nhang-doi-moi-18g.jpg,READY_FOR_DESIGN,Chăm sóc da mặt | Dưỡng sáng & đều màu
source-35,35,1787189873510_8276717302965400709_8276717302965400709_9a18127a1302275d12cf1405afe57166.jpg,HAVIGOLD,Kem dưỡng trắng giúp mờ các dấu hiệu lão hóa da,18g,ddg-havigold-kem-duong-trang-giup-mo-cac-dau-hieu-lao-hoa-da-18g.jpg,READY_FOR_DESIGN,Chăm sóc da mặt | Dưỡng sáng & đều màu | Chăm sóc dấu hiệu lão hóa
source-36,36,1787189873613_8276717302965400709_8276717302965400709_659c2faeac2dc5831ecb0eea3dfe4189.jpg,HAVIGOLD,Kem giúp mờ nám tàn nhang - đồi mồi,10g,ddg-havigold-kem-giup-mo-nam-tan-nhang-doi-moi-10g.jpg,READY_FOR_DESIGN,Chăm sóc da mặt | Dưỡng sáng & đều màu
source-37,37,1787189873714_8276717302965400709_8276717302965400709_bd682c3835b97ce4a075bd0872d506d0.jpg,HAVIGOLD,Kem dưỡng trắng da chống nắng SPF50+,10g,ddg-havigold-kem-duong-trang-da-chong-nang-spf50-10g.jpg,READY_FOR_DESIGN,Chăm sóc da mặt | Dưỡng sáng & đều màu | Chống nắng
source-38,38,1787189873858_8276717302965400709_8276717302965400709_86b9ff87d9312ce00a1e50718070f26f.jpg,HAVIGOLD,Serum giúp mờ nám trắng da,18g,ddg-havigold-serum-giup-mo-nam-trang-da-18g.jpg,HOLD_DO_NOT_PUBLISH,Chăm sóc da mặt | Dưỡng sáng & đều màu
source-39,39,1787189873960_8276717302965400709_8276717302965400709_39bb8927b0a8555da740dee3d66ce895.jpg,HAVIGOLD,Kem chống nắng dưỡng trắng da SPF50+,50g,ddg-havigold-kem-chong-nang-duong-trang-da-spf50-50g.jpg,READY_FOR_DESIGN,Chăm sóc da mặt | Dưỡng sáng & đều màu | Chống nắng
source-40,40,1787189874060_8276717302965400709_8276717302965400709_0a2be4888bc825a46fa8515f0fcefa6c.jpg,HAVIGOLD,Kem dưỡng trắng da toàn thân,100g,ddg-havigold-kem-duong-trang-da-toan-than-100g.jpg,READY_FOR_DESIGN,Chăm sóc cơ thể | Dưỡng sáng & đều màu
source-41,41,1787189874159_8276717302965400709_8276717302965400709_636ad81ecfe8247e75314fdb77045efb.jpg,HAVIGOLD,"Kem trắng da ngừa mụn, giúp mờ thâm",10g,ddg-havigold-kem-trang-da-ngua-mun-giup-mo-tham-10g.jpg,READY_FOR_DESIGN,Chăm sóc da mặt | Dưỡng sáng & đều màu | Da có xu hướng nổi mụn
source-42,42,1787189874255_8276717302965400709_8276717302965400709_3b2617f699a5c716d933ba0ab32dc2d8.jpg,HAVIGOLD,Sữa rửa mặt,140g,ddg-havigold-sua-rua-mat-140g.jpg,READY_FOR_DESIGN,Chăm sóc da mặt | Làm sạch
source-43,43,1787189874355_8276717302965400709_8276717302965400709_5d946d29953ec14ef4e9c810fea490b4.jpg,HAVIGOLD,Tẩy tế bào da chết,150g,ddg-havigold-tay-te-bao-da-chet-150g.jpg,READY_FOR_DESIGN,Chăm sóc cơ thể | Làm sạch
source-44,44,1787189874457_8276717302965400709_8276717302965400709_aca7d6be1e9d30793d819529796801ce.jpg,HAVIGOLD,Nước tẩy trang,210g,ddg-havigold-nuoc-tay-trang-210g.jpg,READY_FOR_DESIGN,Chăm sóc da mặt | Làm sạch | Dưỡng sáng & đều màu
