product_id|brand|canonical_product|publish_gate|repo_media_status|manifest_key|featured_image|gallery|desktop_asset|mobile_asset|alt|source|mapping_confidence|notes
76|Hatagold|Kem Dưỡng Trắng Giúp Mờ Các Dấu Hiệu Lão Hóa Da B5 - 10g|PUBLISH_ALLOWED|CANDIDATE_MAPPING_REVIEW|hatagold_anti_aging|UNKNOWN_LIVE_CMS|NO_MANIFEST|hatagold-b5-anti-aging.jpg|RATIO_NOT_VERIFIED|Kem dưỡng Hatagold B5 dành cho routine chăm sóc dấu hiệu lão hóa da|Media Library source_fragments / optional bundle filename|LOW_STATIC|Manifest target uses legacy title without B5; exact bind is not canonical-safe
77|Hatagold|Kem Dưỡng Trắng Da Chống Nắng SPF50+ B5 - 10g|PUBLISH_ALLOWED|CANDIDATE_MAPPING_REVIEW|hatagold_sunscreen_10g|UNKNOWN_LIVE_CMS|NO_MANIFEST|hatagold-b5-sunscreen-10g.jpg|RATIO_NOT_VERIFIED|Kem dưỡng trắng da chống nắng SPF50+ Hatagold B5|Media Library source_fragments / optional bundle filename|LOW_STATIC|Manifest target uses legacy title without B5; runtime fallback must be verified
78|Hatagold|Kem Trắng Da Mặt Đa Chức Năng B5 - 10g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|No deterministic product asset in importer manifest
79|Hatagold|Kem Dưỡng Trắng Giúp Mờ Tàn Nhang - Đồi Mồi B5 - 10g|PUBLISH_ALLOWED|CANDIDATE_MAPPING_REVIEW|hatagold_dark_spots|UNKNOWN_LIVE_CMS|NO_MANIFEST|hatagold-b5-dark-spots.jpg|RATIO_NOT_VERIFIED|Kem dưỡng Hatagold B5 dành cho nhu cầu chăm sóc làn da không đều màu|Media Library source_fragments / optional bundle filename|LOW_STATIC|Manifest target uses legacy title without B5; runtime fallback must be verified
83|Hatagold|Serum Giúp Mờ Nám Ngừa Mụn Trắng Da B5 - 20g|PUBLISH_ALLOWED|CANDIDATE_MAPPING_REVIEW|hatagold_serum|UNKNOWN_LIVE_CMS|NO_MANIFEST|hatagold-b5-serum-primary.jpg|RATIO_NOT_VERIFIED|Serum Hatagold B5 dành cho routine chăm sóc làn da không đều màu|Media Library source_fragments / optional bundle filename|LOW_STATIC|Manifest candidate title is materially shorter than canonical Product Truth title
89|Hatagold|Kem Chống Nắng Dưỡng Trắng Da SPF50+ B5 - 50g|PUBLISH_ALLOWED|CANDIDATE_MAPPING_REVIEW|hatagold_sunscreen|UNKNOWN_LIVE_CMS|NO_MANIFEST|hatagold-b5-sunscreen.jpg|RATIO_NOT_VERIFIED|Kem chống nắng dưỡng trắng da SPF50+ Hatagold B5|Media Library source_fragments / optional bundle filename|LOW_STATIC|Manifest target omits SPF50+, B5 and pack; runtime fallback must be verified
92|Hatagold|Kem Dưỡng Trắng Da Toàn Thân - 120g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|No deterministic product asset in importer manifest
93|She One|Premium Whitening Body Cream - 140g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|No deterministic product asset in importer manifest; external hotfix source is not accepted as controlled project asset without review
94|One Today|Kem Giúp Mờ Nám Mụn Trắng Da - 10g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|No deterministic product asset in importer manifest
95|One Today|Kem Dưỡng Trắng Da Mặt - 8g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|No deterministic product asset in importer manifest
96|One Today|Kem Dưỡng Trắng Giúp Mờ Các Dấu Hiệu Lão Hóa Da - 8g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|No deterministic product asset in importer manifest
97|One Today|Kem Dưỡng Trắng Giúp Mờ Tàn Nhang - Đồi Mồi - 8g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|No deterministic product asset in importer manifest
98|One Today|Kem Trắng Da Chống Nắng SPF50+ - 8g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|No deterministic product asset in importer manifest
99|One Today|Kem Chống Nắng Dưỡng Trắng Da SPF50+ - 50g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|No deterministic product asset in importer manifest
100|One Today|Smoothing and Moisturizing Body Wash - 1000g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|No deterministic product asset in importer manifest
101|One Today|Kem Tắm Trắng Cao Cấp Ngọc Trai - 120g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|No deterministic product asset in importer manifest
102|One Today|Kem Dưỡng Trắng Giúp Mờ Các Dấu Hiệu Lão Hóa Da Giúp Mờ Nếp Nhăn Da - 30g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|No deterministic product asset in importer manifest
103|One Today|Kem Trắng Da Mặt Đa Chức Năng - 30g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|No deterministic product asset in importer manifest
104|Hatagold|Kem Giúp Mờ Nám - 18g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|Do not map hatagold_lotus_melasma: identity is not proven equivalent
